generation,id,novelty,score,species,parent1,parent2
81,8493,700.8668920309849,1292.8950013923688,3,1358,8340
82,8493,711.2731730477847,1292.8950013923688,3,1358,8340
83,8493,710.1612482880577,1292.8950013923688,3,1358,8340
84,8493,698.6638411011206,1292.8950013923688,3,1358,8340
85,8493,682.5335411063746,1292.8950013923688,3,1358,8340
86,8493,682.5335411063746,1292.8950013923688,3,1358,8340
87,8493,632.6987070740876,1292.8950013923688,3,1358,8340
88,8493,628.1827644478385,1292.8950013923688,4,1358,8340
89,8493,651.9642010448903,1292.8950013923688,3,1358,8340
90,8493,651.9642010448903,1292.8950013923688,3,1358,8340
91,8493,650.1446081664756,1292.8950013923688,3,1358,8340
92,8493,651.9642010448903,1292.8950013923688,3,1358,8340
93,8493,651.9642010448903,1292.8950013923688,3,1358,8340
94,8493,632.9880295922623,1292.8950013923688,3,1358,8340
95,13486,1756.5160502384051,2456.362274802488,3,8493,13354
96,13486,1756.5160502384051,2456.362274802488,3,8493,13354
97,13486,1756.5160502384051,2456.362274802488,3,8493,13354
98,13486,1748.694763715628,2456.362274802488,3,8493,13354
99,13486,1740.7692622534546,2456.362274802488,3,8493,13354
100,13486,1754.2574272639183,2456.362274802488,3,8493,13354
101,13486,1747.8916315022313,2456.362274802488,4,8493,13354
102,13486,1741.7328416315029,2456.362274802488,4,8493,13354
103,13486,1747.836100545354,2456.362274802488,4,8493,13354
104,13486,1742.3892412783503,2456.362274802488,4,8493,13354
105,13486,1734.8886665295863,2456.362274802488,4,8493,13354
106,13486,1729.0788277297693,2456.362274802488,3,8493,13354
107,13486,1747.6321960032944,2456.362274802488,4,8493,13354
108,13486,1717.1675041064286,2456.362274802488,3,8493,13354
109,13486,1696.8001709541045,2456.362274802488,4,8493,13354
110,13486,1716.7459659299386,2456.362274802488,4,8493,13354
111,13486,1701.0589888962777,2456.362274802488,3,8493,13354
112,13486,1726.3672245952532,2456.362274802488,3,8493,13354
113,13486,1726.146305085655,2456.362274802488,4,8493,13354
114,13486,1713.1356820686976,2456.362274802488,3,8493,13354
115,13486,1708.3806918142743,2456.362274802488,4,8493,13354
116,13486,1697.5019271497688,2456.362274802488,3,8493,13354
117,13486,1699.6272273180327,2456.362274802488,4,8493,13354
118,13486,1664.4982984915323,2456.362274802488,4,8493,13354
119,13486,1707.4945913580207,2456.362274802488,4,8493,13354
120,13486,1671.9380566327025,2456.362274802488,4,8493,13354
121,13486,1700.574338886083,2456.362274802488,4,8493,13354
122,13486,1698.9547512840136,2456.362274802488,4,8493,13354
123,13486,1701.9723338543865,2456.362274802488,3,8493,13354
124,13486,1718.4817530204257,2456.362274802488,4,8493,13354
125,13486,1718.4817530204257,2456.362274802488,4,8493,13354
126,13486,1718.4817530204257,2456.362274802488,4,8493,13354
127,13486,1718.4817530204257,2456.362274802488,3,8493,13354
128,13486,1679.5997528839873,2456.362274802488,3,8493,13354
129,13486,1698.4545741637166,2456.362274802488,4,8493,13354
130,13486,1698.215173779189,2456.362274802488,3,8493,13354
131,13486,1718.4817530204257,2456.362274802488,3,8493,13354
132,13486,1718.4817530204257,2456.362274802488,4,8493,13354
133,13486,1712.0530728699514,2456.362274802488,4,8493,13354
134,13486,1712.0530728699514,2456.362274802488,4,8493,13354
135,13486,1708.2028504883856,2456.362274802488,3,8493,13354
136,13486,1709.1276542497806,2456.362274802488,4,8493,13354
137,13486,1710.626717294267,2456.362274802488,4,8493,13354
138,13486,1708.473814053735,2456.362274802488,4,8493,13354
139,13486,1710.626717294267,2456.362274802488,4,8493,13354
140,13486,1710.626717294267,2456.362274802488,3,8493,13354
141,13486,1710.626717294267,2456.362274802488,3,8493,13354
142,13486,1696.0020495093954,2456.362274802488,4,8493,13354
143,13486,1700.0187793393904,2456.362274802488,4,8493,13354
