generation,id,novelty,fitness,species,parent1,parent2
102,51464,20.193791296226575,-0.11711538104766425,5,29769,739
103,51591,23.013452367494093,0.02250095322144503,3,27493,1770
104,52368,21.773623410110698,-0.12125762202153141,5,12810,29701
105,52559,21.732773599970383,-0.1128583419937418,5,139,18947
106,53224,28.31429032679258,0.2472689089143627,5,30788,2633
107,53587,28.03155627754215,0.21358775010158024,5,6951,683
108,54463,19.332888652486982,0.026920423597200187,3,18947,139
109,54873,28.14936210818797,0.2589522563194293,3,1491,30704
110,55008,19.371080137851983,-0.01707601031598265,5,218,217
111,55904,17.932060653365365,0.6364834255988872,1,26846,1579
112,56202,21.320811745182873,-0.05603216510342366,5,124,139
113,56552,19.808007366879497,-0.10011087586348962,3,214,10
114,57193,17.44528114011858,-0.2549362621160185,5,605,862
115,57600,22.988753665157642,0.039591843985148874,1,40,335
116,58048,20.227295791310645,-0.13411485928992292,2,243,10
117,58633,21.743767997897848,-0.0009371900350708689,6,6730,311
118,59303,30.23023852236811,0.415315774381957,1,772,27077
119,59535,23.273597263508215,0.0866957799435637,2,2878,496
120,60490,21.488490878899842,-0.11540798618086498,2,18947,69
121,60526,26.795142307174235,0.18764002607415714,3,26437,54923
122,61022,20.1489848240838,-0.014928747696089845,3,51408,51237
123,61893,32.328072331549855,-0.1846228273447021,2,139,27077
124,62410,31.359834649802853,0.5024419653385767,1,291,915
125,62978,22.10323709391389,0.016192791654597027,1,1030,1770
126,63191,17.365164249468567,-0.22807617830035015,1,715,15774
127,63815,17.709996597510244,-0.15172749270269237,6,4900,544
128,64252,20.4738799719187,-0.00511819850521086,3,172,18947
129,64702,27.335114074602238,0.24493425389325893,1,1961,30704
130,65179,20.779583575948486,-0.1810792411109541,3,12810,107
131,65825,28.288938013191864,0.2881181799189923,2,974,59303
132,66286,28.074657421150093,0.28446740963583456,1,6951,30788
133,66588,24.671599924127715,0.1541291448725388,3,1913,696
134,67437,28.558967359544333,0.264019638630536,1,30704,84
135,67774,20.294408534618697,-0.11840652561933752,5,4563,355
136,68203,17.077428543785555,-0.1862895955148139,6,495,4563
137,68701,19.904874517026048,-0.11313870360984936,5,3041,2633
138,69453,17.54531602416662,-0.14687356582105807,2,38297,60585
139,69798,18.51669073073898,-0.2667509036001799,1,495,2089
140,70301,21.346642258841374,0.06242992791472868,5,533,1913
141,70692,17.129117935061522,-0.06721897742256257,5,2860,49716
142,71482,26.007407097025407,0.20426161386175312,1,30704,18947
143,71881,41.701402074088676,0.08952810883633124,2,47077,67471
